,author,header,article_length
11,Александра Шрайбер,В Златоусте почти 40 многоквартирных домов остались без отопления из‑за аварии,501
0,Анастасия Посохова,В Челябинске женщина за рулем Toyota получила травмы в ДТП,536
3,Анастасия Посохова,В Челябинской области мужчина погиб из‑за загоревшейся электроплиты,603
15,Ольга Бороденок,Больше 45 тысяч сосен отправила Челябинская область в Казахстан за два месяца,772
9,Ольга Бороденок,Уральская бизнесвумен контрабандой вывезла за рубеж почти 100 тонн нефтепродуктов,908
6,Александр Серов,Лед на водоемах Миасса промерз на четверть метров,941
14,Оксана Пузакова,В нацпарке «Таганай» убирают кормушки для птиц из апельсинов,947
17,Александра Шрайбер,"Итоговое сочинение напишут 13,5 тысячи южноуральских 11‑классников",1007
16,Александр Серов,"Ученые ЮУрГУ разработали квас, стимулирующий иммунитет",1174
19,Александра Шрайбер,Россиян предупредили о мошеннической схеме с налоговой и QR‑кодами,1237
2,Ирина Голлай,В Златоусте фельдшеры и зубные врачи получат по 800 тысяч рублей подъемных,1260
13,Ольга Бороденок,Житель Снежинска потерял более 175 тыс. рублей после звонка о флюорографии,1286
12,Виталий Визаулин,Команда из Магнитогорска выиграла областной этап фестиваля «Игры ГТО»,1321
7,Оксана Пузакова,Губернатор Алексей Текслер возложил цветы к Вечному огню в День неизвестного солдата,1485
1,Виталий Визаулин,Мини-футбольный клуб «Южный Урал» покинет главный тренер Нуржан Джетыбаев,1542
18,Ирина Голлай,В Челябинской области родители и опекуны детей-инвалидов выходят на пенсию досрочно,1658
8,Ирина Голлай,Более тысячи инвалидов пролечили зубы под наркозом в Челябинске,2200
4,Марина Власова,В Челябинске собирают команду по следж-хоккею из участников СВО,2435
5,Виталий Визаулин,Кикбоксеры Челябинской области завоевали восемь медалей на чемпионате России,2495
10,Александр Серов,В Челябинской области продолжится модернизация энергокомплекса,2522
